,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,mean,std
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010000000000000002,2.28569887277129e-19
train_loss,2.5110042095184326,2.5098156929016113,2.5000786781311035,2.5103049278259277,2.5071260929107666,2.505276679992676,2.5141403675079346,2.5129036903381348,2.5108373165130615,2.5148069858551025,2.509629464149475,0.004449049995814684
test_loss,2.544254779815674,2.540457010269165,2.5259385108947754,2.5335686206817627,2.536499261856079,2.5293240547180176,2.532609224319458,2.5230276584625244,2.522472858428955,2.5325448513031006,2.532069683074951,0.007150724217600133
val_loss,2.540904998779297,2.5278232097625732,2.5329267978668213,2.5376439094543457,2.532230854034424,2.528137445449829,2.5233590602874756,2.5235953330993652,2.5370869636535645,2.518575668334961,2.5302284240722654,0.007183617174703684
train_acc,0.24761584401130676,0.24760688841342926,0.25035274028778076,0.2486909031867981,0.25020045042037964,0.24900445342063904,0.2480279505252838,0.24691258370876312,0.24738739430904388,0.24791596829891205,0.24837151765823365,0.0011714712555442772
test_acc,0.24267053604125977,0.24372278153896332,0.24401305615901947,0.24154572188854218,0.24187228083610535,0.2446299046278,0.24375906586647034,0.24372278153896332,0.24473875761032104,0.24481132626533508,0.243548621237278,0.0011591869400590432
val_acc,0.2437106966972351,0.2436300665140152,0.24342848360538483,0.23943719267845154,0.2458474487066269,0.2440735399723053,0.24729882180690765,0.24471859633922577,0.24173520505428314,0.24298499524593353,0.2436865046620369,0.002143730062278055
time_fit,45293.03098797798,47994.12700390816,60403.11758494377,49851.27540707588,44533.1274831295,53343.2503528595,41838.36576986313,54199.22551894188,45626.68289208412,41082.14691400528,48416.43499147892,6085.621207933301
number_epochs,35.0,42.0,49.0,39.0,38.0,43.0,31.0,43.0,38.0,32.0,39.0,5.497474167490214
