,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,mean,std
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010000000000000002,2.28569887277129e-19
train_loss,2.563479423522949,2.564091682434082,2.549067258834839,2.5585520267486572,2.5603480339050293,2.547924041748047,2.5498883724212646,2.565213918685913,2.5684752464294434,2.563326835632324,2.559036684036255,0.007449589292743245
test_loss,2.577671766281128,2.579280138015747,2.5528342723846436,2.5684266090393066,2.572375535964966,2.5501060485839844,2.553656816482544,2.5561420917510986,2.5658600330352783,2.5678532123565674,2.5644206523895265,0.01060987638317988
val_loss,2.579690456390381,2.566572666168213,2.561107873916626,2.5726046562194824,2.562690019607544,2.54799222946167,2.5416698455810547,2.561640977859497,2.578289747238159,2.552253484725952,2.562451195716858,0.01254134776160671
train_acc,0.23719680309295654,0.2376357764005661,0.23981724679470062,0.239691823720932,0.2388228178024292,0.23937378823757172,0.23790454864501953,0.23898407816886902,0.2371833622455597,0.2359515279531479,0.23825617730617524,0.0012776344636972875
test_acc,0.23842525482177734,0.23523221909999847,0.23704645037651062,0.2364296019077301,0.23461538553237915,0.2374092936515808,0.23751814663410187,0.24303337931632996,0.23886066675186157,0.2332002967596054,0.23717706948518752,0.0026996759280990172
val_acc,0.2336316704750061,0.23713916540145874,0.23774391412734985,0.23500241339206696,0.24121110141277313,0.24032413959503174,0.2405257225036621,0.23963876068592072,0.23484115302562714,0.23472020030021667,0.23747782409191132,0.0028217562669582415
time_fit,1086.3024966716766,1072.3591589927673,991.6711728572845,966.7672560214996,946.5763561725616,934.2211091518402,895.8919970989227,837.3633291721344,847.0780410766602,851.1826608181,942.9413578033448,89.00855395330738
number_epochs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
