,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,mean,std
learning_rate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010000000000000002,2.28569887277129e-19
train_loss,2.5982062816619873,2.6018998622894287,2.602212905883789,2.611551523208618,2.607619047164917,2.609919548034668,2.6097989082336426,2.6170437335968018,2.6047749519348145,2.607964038848877,2.6070990800857543,0.005481007750149036
test_loss,2.617786407470703,2.622865915298462,2.610377073287964,2.616858959197998,2.6216518878936768,2.6120147705078125,2.612631320953369,2.6062755584716797,2.6064605712890625,2.610957145690918,2.6137879610061647,0.005811155242634769
val_loss,2.6203789710998535,2.609049081802368,2.6153316497802734,2.6230685710906982,2.6125524044036865,2.6117844581604004,2.600959062576294,2.61079740524292,2.613950490951538,2.600119113922119,2.611799120903015,0.00730893454946199
train_acc,0.23160205781459808,0.23075544834136963,0.23291003704071045,0.23207686841487885,0.22804990410804749,0.22895921766757965,0.2293892353773117,0.22835898399353027,0.2316826730966568,0.23127058148384094,0.2305055007338524,0.0016918600669731643
test_acc,0.23007982969284058,0.2297532707452774,0.22779390215873718,0.23000726103782654,0.2232583463191986,0.22866472601890564,0.22779390215873718,0.23309144377708435,0.22902756929397583,0.22971698641777039,0.22891872376203537,0.0024927683611089897
val_acc,0.22939848899841309,0.22536687552928925,0.2282293140888214,0.2266569882631302,0.23165617883205414,0.2289550006389618,0.23157554864883423,0.22798742353916168,0.2289550006389618,0.22980163991451263,0.22885824590921403,0.001960777334764129
time_fit,685.0259919166565,688.6124837398529,679.572319984436,388.9090621471405,578.545371055603,507.9405550956726,469.18797397613525,360.09120202064514,661.8697769641876,486.4207911491394,550.6175528049469,125.57327865165148
number_epochs,38.0,39.0,38.0,21.0,32.0,28.0,26.0,20.0,37.0,27.0,30.6,7.214183560490019
